2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 5.92672e-09 0 0 1.18534e-06 0 0 0 -0.000355603 -0.000355603
1 Earth 0.998026 0.0628319 0 -0.394394 6.27078 0 2.16681e-314 -0.000355603 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 2.36952e-08 3.72386e-10 0 2.36835e-06 7.44771e-08 0 0 -0.000711205 -0.000711205
1 Earth 0.992112 0.125416 0 -0.787228 6.23362 0 2.16681e-314 -0.000711205 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 5.32585e-08 1.86045e-09 0 3.54432e-06 2.23136e-07 0 0 -0.0010668 -0.0010668
1 Earth 0.982282 0.187504 0 -1.17695 6.17186 0 2.16681e-314 -0.0010668 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 9.45232e-08 5.20305e-09 0 4.70862e-06 4.45385e-07 0 0 -0.0014224 -0.0014224
1 Earth 0.968573 0.248853 0 -1.56201 6.08573 0 2.16681e-314 -0.0014224 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 1.4735e-07 1.11317e-08 0 5.85665e-06 7.40344e-07 0 0 -0.00177799 -0.00177799
1 Earth 0.951041 0.309219 0 -1.9409 5.97558 0 2.16681e-314 -0.00177799 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 2.11552e-07 2.03676e-08 0 6.98385e-06 1.10684e-06 0 0 -0.00213358 -0.00213358
1 Earth 0.929755 0.368364 0 -2.31211 5.84185 0 2.16681e-314 -0.00213358 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 2.869e-07 3.36189e-08 0 8.08578e-06 1.54342e-06 0 0 -0.00248915 -0.00248915
1 Earth 0.904799 0.426056 0 -2.67418 5.68506 0 2.16681e-314 -0.00248915 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 3.7312e-07 5.15777e-08 0 9.15808e-06 2.04835e-06 0 0 -0.00284472 -0.00284472
1 Earth 0.876272 0.482066 0 -3.02567 5.50584 0 2.16681e-314 -0.00284472 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 4.69893e-07 7.49176e-08 0 1.01965e-05 2.61963e-06 0 0 -0.00320028 -0.00320028
1 Earth 0.844286 0.536173 0 -3.36521 5.3049 0 2.16681e-314 -0.00320028 6.28319
2
id type x y z vx vy vz E_kin E_pot E_mek
0 Sun 5.7686e-07 1.04291e-07 0 1.1197e-05 3.25499e-06 0 0 -0.00355582 -0.00355582
1 Earth 0.808967 0.588164 0 -3.69144 5.08304 0 2.16681e-314 -0.00355582 6.28319
